mean,lwrCL,uprCL,spo,naCount
0.33,0.161,0.508,SPO3810,0
0.969,0.947,0.992,SPO3811,0
0.872,0.85,0.896,SPO3812,0
0.971,0.955,0.986,SPO3813,0
0.987,0.955,1.024,SPO3814,0
0.997,0.985,1.008,SPO3815,0
0.98,0.935,1.034,SPO3816,0
0.607,0.208,0.867,SPO3817,0
NA,NA,NA,SPO3818,10000
0.972,0.939,1.007,SPO3819,0
1.007,0.989,1.024,SPO3820,0
1.044,1.015,1.071,SPO3821,0
1.032,0.998,1.066,SPO3822,0
NA,NA,NA,SPO3824,10000
NA,NA,NA,SPO3826,10000
1.005,0.935,1.072,SPO3827,0
1.012,0.998,1.025,SPO3828,0
0.999,0.978,1.021,SPO3829,0
0.979,0.956,1.004,SPO3830,0
0.978,0.944,1.017,SPO3831,0
0.988,0.963,1.015,SPO3832,0
1.047,1.024,1.071,SPO3833,0
NA,NA,NA,SPO3834,10000
0.869,0.778,0.931,SPO3835,0
1.022,1.008,1.032,SPO3836,0
0.998,0.976,1.024,SPO3837,0
1.013,0.956,1.076,SPO3838,0
0.991,0.961,1.02,SPO3839,0
0.644,0,1.278,SPO3840,0
0.946,0.929,0.963,SPO3841,0
0.975,0.946,1,SPO3842,0
1.014,0.982,1.046,SPO3843,0
0.747,0.703,0.793,SPO3844,0
0.964,0.929,0.998,SPO3845,0
1.042,0.939,1.149,SPO3846,0
1.016,0.987,1.045,SPO3847,0
0.97,0.951,0.988,SPO3848,0
0.979,0.951,1.008,SPO3849,0
0.977,0.961,0.992,SPO3850,0
1.001,0.939,1.057,SPO3851,0
0.933,0.769,1.078,SPO3852,0
0.158,0,0.485,SPO3853,0
0.332,0,0.63,SPO3854,1
0.778,0.722,0.828,SPO3855,0
1.008,0.969,1.049,SPO3856,0
1.012,0.987,1.035,SPO3857,0
1.019,0.999,1.038,SPO3858,0
0.994,0.968,1.02,SPO3859,0
0.997,0.97,1.024,SPO3860,0
0.977,0.961,0.992,SPO3861,0
1.035,0.997,1.074,SPO3862,0
0.99,0.965,1.02,SPO3863,0
1.007,0.999,1.015,SPO3864,0
0.822,0.734,0.912,SPO3865,0
0.764,0.628,0.918,SPO3866,0
0.858,0.832,0.888,SPO3867,0
0.957,0.934,0.98,SPO3868,0
0,0,0,SPO3869,3163
0.987,0.955,1.015,SPO3870,0
0.986,0.924,1.039,SPO3871,0
0.772,0.733,0.81,SPO3872,0
0.86,0.793,0.911,SPO3873,0
0.989,0.938,1.04,SPO3874,0
1.028,0.994,1.067,SPO3875,0
0.965,0.932,1.002,SPO3876,0
1.029,1.007,1.053,SPO3877,0
0.988,0.972,1.008,SPO3878,0
1.007,0.996,1.021,SPO3879,0
1.026,0.999,1.05,SPO3880,0
1.003,0.951,1.06,SPO3881,0
1.007,0.992,1.024,SPO3882,0
1.003,0.981,1.024,SPO3883,0
0.99,0.959,1.019,SPO3884,0
1.001,0.969,1.033,SPO3885,0
0.874,0.836,0.909,SPO3886,0
0.984,0.956,1.014,SPO3887,0
0.889,0.795,0.984,SPO3888,0
1.024,1.002,1.049,SPO3889,0
0.782,0.681,0.86,SPO3890,0
0.061,0,0.215,SPO3891,39
1.002,0.962,1.033,SPO3892,0
1.283,1.118,1.406,SPO3894,380
0.916,0.868,0.972,SPO3895,0
0.462,0,1.022,SPO3896,34
0.906,0.775,1.034,SPO3897,0
1.009,0.967,1.05,SPO3898,0
0.963,0.884,1.038,SPO3899,0
0.974,0.93,1.021,SPO3900,0
0.859,0.771,0.944,SPO3901,0
0.979,0.96,0.997,SPO3902,0
0.975,0.921,1.024,SPO3903,0
1.022,0.927,1.112,SPO3904,0
0.966,0.904,1.03,SPOA0001,0
0.985,0.911,1.056,SPOA0002,0
0.956,0.907,1.011,SPOA0003,0
0.997,0.954,1.047,SPOA0004,0
0.814,0.644,1.016,SPOA0005,0
0.99,0.905,1.07,SPOA0006,0
